Brand,Brand2,Model,Price,Rating,Reviews,Size,Width,Height,HDMI,VGA,USB,Description
MSI,MSI, Optix MAG270VC2 ,5706.0,4.0,9,27.0,1920 , 1080,Yes,No,No,"MSI Optix MAG270VC2 27"" Full HD 1920 x 1080 1ms (MPRT) / 4ms (GTG) 165 Hz HDMI, DisplayPort FreeSync (AMD Adaptive Sync) Curved Gaming Monitor"
SAMSUNG,SAMSUNG, LS24F354FHNXZA ,2273.0,4.0,3,24.0,1920 , 1080,Yes,Yes,No,"SAMSUNG LS24F354FHNXZA 24"" (Actual size 23.5"") Full HD 1920 x 1080 4ms (GTG) VGA HDMI AMD FreeSync Flicker Free Technology Super Slim Design LED Backlit Gaming Monitor"
Acer America,Acer, ED322QR Pbmiipx ,4565.0,3.0,36,32.0,1920 , 1080,Yes,No,No,"Acer ED322QR Pbmiipx 32"" (Actual size 31.5"") Full HD 1920 x 1080 4ms (GTG) 144Hz 2xHDMI DisplayPort Built-in Speakers AMD FreeSync Backlit LED Curved Gaming Monitor"
Acer America,Acer, ED270R ,4991.0,3.0,22,27.0,1920 , 1080,Yes,No,No,"Acer ED270R 27"" Black 1920 x 1080 Widescreen 16:9 165Hz Refresh Rate AMD FreeSync Premium Technology, 2x HDMI, DisplayPort Curved LED Gaming Monitor"
Acer America,Acer, KG221Q Abmix ,2301.0,3.0,18,22.0,1920 , 1080,Yes,No,No,"Acer KG221Q Abmix 22"" (Actual size 21.5"") 1ms (GTG) AMD FreeSync Widescreen LCD/LED Gaming Monitor, HDMI 1920 x 1080, at 75 Hz Refresh Rate, Acer Vision Care Feature"
BenQ,BenQ, EW3270U ,10427.0,5.0,16,32.0,3840 , 2160,Yes,No,Yes,"BenQ EW3270U 32"" (Actual size 31.5"") 3840 x 2160 4K Resolution 4ms HDMI, DisplayPort, USB Type-C Built-in Speakers Flicker-Free FreeSync HDR LED Backlit Gaming Monitor"
Acer America,Acer, Predator XB1 XB241H bmipr ,9176.0,4.0,112,24.0,1920 , 1080,Yes,No,No,"Acer Predator XB1 XB241H bmipr 24"" Full HD 1920 x 1080 1ms 144Hz 180Hz OverClocked HDMI DisplayPort NVIDIA G-SYNC Technology Built-in Speakers Flicker-Less Technology Backlit LED Gaming Monitor"
ViewSonic,ViewSonic, ELITE XG270QG ,13279.0,5.0,11,27.0,2560 , 1440,Yes,No,Yes,"ViewSonic ELITE XG270QG 27"" Quad HD 2560 x 1440 2K 1ms (GTG W/OD) 144Hz HDMI DisplayPort USB 3.1 Hub NVIDIA G-Sync Built-in Speakers Anti-Glare Backlit LED IPS Gaming Monitor"
MSI,MSI, Optix G32C4 ,5911.0,5.0,8,31.5,1920 , 1080,Yes,No,No,"MSI Optix G32C4 31.5"" 1920 x 1080 1 ms (MPRT) / 4 ms (GTG) 165 Hz HDMI, DisplayPort FreeSync (AMD Adaptive Sync) Curved Gaming Monitor"
Acer America,Acer, Nitro XZ322Q Pbmiiphx ,7504.0,5.0,7,31.5,,,Yes,No,No,"Acer Nitro XZ322Q Pbmiiphx 31.5"" FULL HD 165Hz 1ms FreeSync 1500R HDMI DP Build-in-Speaker HDR400 Curved Gaming Monitor w/ Height Adjustable"
LG Electronics,LG, 27GN750-B ,9318.0,5.0,6,27.0,1920 , 1080,Yes,No,Yes,LG 27GN750-B 27'' Full HD 1920 x 1080 1ms (GTG) 240Hz 2xHDMI DisplayPort USB Hub AMD RADEON FreeSync G-Sync Compatible Flicker Safe Backlit LED Gaming Monitor
Acer America,Acer, Predator X34 Pbmiphzx ,17206.0,4.0,42,34.0,3440 , 1440,No,No,No,"Acer Predator X34 Pbmiphzx 34"" 3440 x 1440 UltraWide QHD 4ms 100HZ NVIDIA G-SYNC ZeroFrame Design Tilt Swivel Height Adjustable IPS Cuved Ultra-wide Gaming Monitor"
Acer America,Acer, V227Q bi ,2666.0,5.0,3,22.0,1920 , 1080,Yes,Yes,No,"Acer V227Q bi 22"" (Actual size 21.5"") Full HD 1920 x 1080 75Hz 4ms (GTG) VGA HDMI AMD FreeSYNC Backlit LED IPS Monitor"
BenQ,BenQ, ZOWIE XL2731 ,6125.0,5.0,2,27.0,1920 , 1080,Yes,No,No,"BenQ ZOWIE XL2731 27"" Full HD 1920 x 1080 1ms 144Hz DVI-D HDMI DisplayPort e-Sports Gaming Monitor"
SAMSUNG,SAMSUNG, C32JG56 ,7958.0,4.0,16,32.0,2560 , 1440,Yes,No,No,"SAMSUNG C32JG56 32"" WQHD 2560 x 1440 2K Resolution 4ms 144Hz 2x HDMI, DisplayPort Flicker-Free AMD FreeSync Eco Saving Plus Widescreen LED Backlit Curved Gaming Monitor"
BenQ,BenQ, ZOWIE XL Series XL2411P Dark Gray ,4514.0,4.0,17,24.0,1920 , 1080,Yes,No,No,"BenQ ZOWIE XL Series XL2411P Dark Gray 24"" 144Hz Full HD 1920 x 1080 1ms (GTG) DVI HDMI DisplayPort eSports Gaming Monitor, Height Adjustable Stand"
